stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200001,"GOETHALS RD N/PORT AUTHORITY ADMIN LOT",,  40.628713, -74.182687,,,0,
200008,"RICHMOND TER/SOUTH AV",,  40.640108, -74.165755,,,0,
200009,"RICHMOND TER/POST LA",,  40.639339, -74.164089,,,0,
200010,"RICHMOND TER/ANDROS AV",,  40.637910, -74.162089,,,0,
200011,"RICHMOND TER/HARBOR RD",,  40.636990, -74.159932,,,0,
200013,"RICHMOND TER/VAN PELT AV",,  40.636747, -74.154887,,,0,
200014,"RICHMOND TER/DAVIS AV",,  40.644712, -74.110734,,,0,
200016,"RICHMOND TER/HOUSEMAN AV",,  40.637300, -74.148612,,,0,
200017,"RICHMOND TER/GRANITE AV",,  40.637568, -74.146753,,,0,
200018,"RICHMOND TER/MORNINGSTAR RD",,  40.637856, -74.144927,,,0,
200019,"RICHMOND TER/JOHN ST",,  40.639027, -74.142287,,,0,
200020,"RICHMOND TER/NICHOLAS AV",,  40.639616, -74.139389,,,0,
200021,"RICHMOND TER/SHARPE AV",,  40.640133, -74.136785,,,0,
200022,"RICHMOND TER/FABER ST",,  40.640226, -74.134746,,,0,
200023,"RICHMOND TER/MAPLE AV",,  40.640269, -74.133301,,,0,
200025,"RICHMOND TER/HEBERTON AV",,  40.638978, -74.129443,,,0,
200026,"RICHMOND TER/JEWETT AV",,  40.637650, -74.128853,,,0,
200027,"RICHMOND TER/RECTOR ST",,  40.637187, -74.127386,,,0,
200028,"RICHMOND TER/BODINE ST",,  40.637142, -74.125851,,,0,
200029,"RICHMOND TER/TAYLOR ST",,  40.637755, -74.123635,,,0,
200030,"RICHMOND TER/ALASKA ST",,  40.638978, -74.121851,,,0,
200031,"RICHMOND TER/TOMPKINS CT",,  40.640151, -74.120700,,,0,
200032,"RICHMOND TER/BROADWAY",,  40.640799, -74.117264,,,0,
200033,"RICHMOND TER/N BURGHER AV",,  40.641784, -74.115500,,,0,
200034,"RICHMOND TER/BEMENT AV",,  40.642716, -74.113963,,,0,
200035,"RICHMOND TER/DAVIS AV",,  40.644473, -74.110946,,,0,
200036,"RICHMOND TER/BARD AV",,  40.645002, -74.108868,,,0,
200037,"RICHMOND TER/SAILORS SNUG HARBOR GATE",,  40.645033, -74.101931,,,0,
200038,"RICHMOND TER/CLINTON AV",,  40.644602, -74.098129,,,0,
200040,"RICHMOND TER/FRANKLIN AV",,  40.645389, -74.092952,,,0,
200041,"RICHMOND TER/JERSEY ST",,  40.646853, -74.088536,,,0,
200042,"RICHMOND TER/WESTERVELT AV",,  40.647757, -74.086966,,,0,
200043,"RICHMOND TER/ST PETERS PL",,  40.648069, -74.084221,,,0,
200044,"RICHMOND TER/NICHOLAS ST",,  40.647292, -74.081124,,,0,
200045,"RICHMOND TER/STUYVESANT PL",,  40.646031, -74.078391,,,0,
200046,"RICHMOND TER/WALL ST",,  40.644034, -74.076681,,,0,
200047,"RICHMOND TER/SCHUYLER ST",,  40.642907, -74.075745,,,0,
200050,"RICHMOND TER/WALL ST",,  40.644786, -74.076948,,,0,
200051,"RICHMOND TER/STUYVESANT PL",,  40.646355, -74.078440,,,0,
200052,"RICHMOND TER/NICHOLAS ST",,  40.647438, -74.080753,,,0,
200053,"RICHMOND TER/ST PETERS PL",,  40.648358, -74.084593,,,0,
200054,"RICHMOND TER/WESTERVELT AV",,  40.647418, -74.087873,,,0,
200055,"RICHMOND TER/JERSEY ST",,  40.646592, -74.089208,,,0,
200056,"RICHMOND TER/FRANKLIN AV",,  40.645589, -74.092765,,,0,
200057,"RICHMOND TER/LAFAYETTE AV",,  40.644821, -74.096443,,,0,
200063,"RICHMOND TER/N BURGHER AV",,  40.641451, -74.116263,,,0,
200064,"RICHMOND TER/BROADWAY",,  40.640637, -74.117952,,,0,
200065,"RICHMOND TER/TOMPKINS CT",,  40.640560, -74.120589,,,0,
200066,"RICHMOND TER/ALASKA ST",,  40.638497, -74.122637,,,0,
200069,"RICHMOND TER/CLOVE RD",,  40.637257, -74.126705,,,0,
200070,"RICHMOND TER/JEWETT AV",,  40.638309, -74.128943,,,0,
200072,"RICHMOND TER/PARK AV",,  40.640318, -74.130766,,,0,
200073,"RICHMOND TER/NORTH ST",,  40.640322, -74.134883,,,0,
200074,"RICHMOND TER/SHARPE AV",,  40.640316, -74.136549,,,0,
200075,"RICHMOND TER/NICHOLAS AV",,  40.639823, -74.139586,,,0,
200076,"RICHMOND TER/JOHN ST",,  40.639045, -74.142592,,,0,
200077,"RICHMOND TER/MORNINGSTAR RD",,  40.637941, -74.145117,,,0,
200078,"RICHMOND TER/GRANITE AV",,  40.637633, -74.146966,,,0,
200079,"RICHMOND TER/HOUSEMAN AV",,  40.637406, -74.148479,,,0,
200080,"RICHMOND TER/SIMONSON AV",,  40.637041, -74.151108,,,0,
200082,"RICHMOND TER/VAN PELT AV",,  40.636838, -74.154671,,,0,
200083,"RICHMOND TER/UNION AV",,  40.636864, -74.157716,,,0,
200084,"RICHMOND TER/HARBOR RD",,  40.637147, -74.160062,,,0,
200085,"RICHMOND TER/ANDROS AV",,  40.638274, -74.162529,,,0,
200097,"MIDLAND AV/KISWICK ST",,  40.574051, -74.096488,,,0,
200099,"MIDLAND AV/OLYMPIA BL",,  40.572504, -74.093593,,,0,
200102,"FR CAPODANNO BL/HUNTER AV",,  40.572878, -74.087799,,,0,
200104,"FR CAPODANNO BL/SIOUX ST",,  40.575173, -74.083821,,,0,
200105,"FR CAPODANNO BL/SLATER BL",,  40.576221, -74.082053,,,0,
200110,"FR CAPODANNO BL/ALTER AV",,  40.582308, -74.074365,,,0,
200111," FR CAPODANNO BL/DELAWARE  AV",,  40.584319, -74.072280,,,0,
200113,"FR CAPODANNO BL/BURGHER AV",,  40.588020, -74.068842,,,0,
200115,"FR CAPODANNO BL/SAND LA",,  40.590397, -74.066399,,,0,
200119,"OLYMPIA BL/BIONIA AV",,  40.592465, -74.072621,,,0,
200120,"OLYMPIA BL/KENSINGTON ST",,  40.591374, -74.074579,,,0,
200121,"OLYMPIA BL/NORWAY AV",,  40.590604, -74.076605,,,0,
200122,"NORWAY AV/FOCH AV",,  40.592286, -74.077734,,,0,
200123,"NORWAY AV/McCLEAN AV",,  40.593734, -74.078668,,,0,
200124,"McCLEAN AV/LAMPORT BL",,  40.594345, -74.077495,,,0,
200125,"McCLEAN AV/KENSINGTON AV",,  40.594881, -74.075879,,,0,
200126,"McCLEAN AV/BIONIA AV",,  40.595434, -74.074187,,,0,
200127,"McCLEAN AV/LINWOOD AV",,  40.595922, -74.072716,,,0,
200128,"McCLEAN AV/SAND LA",,  40.596787, -74.070098,,,0,
200129,"McCLEAN AV/MILLS AV",,  40.597210, -74.068752,,,0,
200131,"McCLEAN AV/OCEAN AV",,  40.598525, -74.064810,,,0,
200132,"LILY POND AV/McCLEAN AV",,  40.599189, -74.063759,,,0,
200135,"SCHOOL RD/TOMPKINS AV",,  40.605104, -74.065048,,,0,
200136,"SCHOOL RD/DENNIS TORRECELLI ST",,  40.606005, -74.063168,,,0,
200137,"BAY ST/SEA GATE RD",,  40.607702, -74.061254,,,0,
200139,"BAY ST/NEW LA",,  40.611505, -74.064131,,,0,
200140,"BAY ST/HYLAN BL",,  40.613999, -74.065902,,,0,
200142,"BAY ST/LYNHURST AV",,  40.618444, -74.069242,,,0,
200144,"BAY ST/TOWNSEND AV",,  40.621412, -74.071615,,,0,
200145,"BAY ST/VANDERBILT AV",,  40.622858, -74.072748,,,0,
200146,"BAY ST/THOMPSON ST",,  40.625914, -74.075064,,,0,
200147,"BAY ST/WATER ST",,  40.627083, -74.075818,,,0,
200148,"BAY ST/PROSPECT ST",,  40.628477, -74.076382,,,0,
200149,"BAY ST/WAVE ST",,  40.629791, -74.076621,,,0,
200151,"BAY ST/GRANT ST",,  40.633278, -74.075137,,,0,
200152,"BAY ST/HANNAH ST",,  40.635811, -74.075730,,,0,
200153,"BAY ST/VICTORY BL",,  40.637518, -74.075956,,,0,
200154,"BAY ST/SLOSSON TER",,  40.639512, -74.075477,,,0,
200157,"MIDLAND AV/RICHMOND RD",,  40.581943, -74.110041,,,0,
200159,"MIDLAND AV/CLAWSON ST",,  40.578766, -74.103994,,,0,
200160,"MIDLAND AV/EDISON ST",,  40.579554, -74.105575,,,0,
200161,"MIDLAND AV/HYLAN BL",,  40.577697, -74.101980,,,0,
