from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,10798470,10798401,1,
124,124,,,10798473,10798405,1,
124,124,,,10798564,10798417,1,
124,124,,,10798569,10798422,1,
124,124,,,10798496,10798429,1,
112,112,,,10798708,10798430,1,
124,124,,,10798498,10798431,1,
124,124,,,10798499,10798432,1,
124,124,,,10798502,10798436,1,
124,124,,,10798504,10798438,1,
116,116,,,10798505,10798440,1,
124,124,,,10798505,10798440,1,
124,124,,,10798506,10798442,1,
124,124,,,10798507,10798443,1,
116,116,,,10798509,10798445,1,
124,124,,,10798509,10798445,1,
116,116,,,10798512,10798446,1,
124,124,,,10798512,10798446,1,
116,116,,,10798513,10798447,1,
124,124,,,10798513,10798447,1,
116,116,,,10798515,10798449,1,
124,124,,,10798515,10798449,1,
116,116,,,10798518,10798453,1,
124,124,,,10798518,10798453,1,
124,124,,,10798583,10798454,1,
124,124,,,10798520,10798456,1,
124,124,,,10798522,10798458,1,
124,124,,,10798523,10798459,1,
124,124,,,10798524,10798460,1,
124,124,,,10798523,10798470,1,
131,131,,,10798523,10798470,1,
131,131,,,10798586,10798470,1,
124,124,,,10798404,10798472,1,
116,116,,,10798463,10798474,1,
124,124,,,10798463,10798474,1,
116,116,,,10798408,10798475,1,
124,124,,,10798408,10798475,1,
116,116,,,10798409,10798477,1,
124,124,,,10798409,10798477,1,
124,124,,,10798411,10798479,1,
116,116,,,10798412,10798481,1,
124,124,,,10798412,10798481,1,
124,124,,,10798413,10798482,1,
124,124,,,10798415,10798483,1,
124,124,,,10798418,10798485,1,
124,124,,,10798419,10798486,1,
124,124,,,10798420,10798487,1,
124,124,,,10798421,10798488,1,
124,124,,,10798423,10798489,1,
124,124,,,10798424,10798491,1,
116,116,,,10798425,10798492,1,
124,124,,,10798425,10798492,1,
116,116,,,10798426,10798494,1,
124,124,,,10798426,10798494,1,
124,124,,,10798545,10798496,1,
140,140,,,10798595,10798496,1,
124,124,,,10798546,10798498,1,
131,131,,,10798576,10798498,1,
124,124,,,10798547,10798499,1,
131,131,,,10798577,10798500,1,
124,124,,,10798549,10798502,1,
124,124,,,10798550,10798504,1,
131,131,,,10798578,10798504,1,
124,124,,,10798552,10798506,1,
140,140,,,10798597,10798506,1,
131,131,,,10798579,10798507,1,
124,124,,,10798439,10798508,1,
124,124,,,10798724,10798508,1,
124,124,,,10798444,10798510,1,
131,131,,,10798581,10798513,1,
124,124,,,10798448,10798514,1,
124,124,,,10798450,10798516,1,
