from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,245987424598745+307986+0,245987424598745+307895+0,1,
112,112,,,245987424598745+307992+0,245987424598745+307896+0,1,
124,124,,,245987424598745+308120+0,245987424598745+307912+0,1,
124,124,,,245987424598745+308409+0,245987424598745+307912+0,1,
124,124,,,245987424598745+308127+0,245987424598745+307919+1,1,
124,124,,,245987424598745+308140+1,245987424598745+307929+1,1,
124,124,,,245987424598745+308148+1,245987424598745+307952+1,1,
124,124,,,245987424598745+308176+1,245987424598745+307978+1,1,
124,124,,,245987424598745+308188+1,245987424598745+307986+0,1,
124,124,,,245987424598745+308197+0,245987424598745+307992+0,1,
124,124,,,245987424598745+308353+0,245987424598745+307992+0,1,
124,124,,,245987424598745+308208+0,245987424598745+308002+0,1,
124,124,,,245987424598745+308356+0,245987424598745+308002+0,1,
124,124,,,245987424598745+308214+0,245987424598745+308003+0,1,
124,124,,,245987424598745+308217+0,245987424598745+308004+0,1,
124,124,,,245987424598745+308361+0,245987424598745+308004+0,1,
124,124,,,245987424598745+308222+0,245987424598745+308006+0,1,
124,124,,,245987424598745+308226+0,245987424598745+308007+0,1,
124,124,,,245987424598745+308366+0,245987424598745+308007+0,1,
124,124,,,245987424598745+308233+0,245987424598745+308008+0,1,
124,124,,,245987424598745+308236+0,245987424598745+308011+0,1,
124,124,,,245987424598745+308370+0,245987424598745+308011+0,1,
124,124,,,245987424598745+308243+0,245987424598745+308015+0,1,
124,124,,,245987424598745+308248+0,245987424598745+308018+0,1,
124,124,,,245987424598745+308373+0,245987424598745+308018+0,1,
124,124,,,245987424598745+308251+0,245987424598745+308019+0,1,
124,124,,,245987424598745+308254+0,245987424598745+308021+0,1,
124,124,,,245987424598745+308376+0,245987424598745+308021+0,1,
124,124,,,245987424598745+308259+0,245987424598745+308023+0,1,
124,124,,,245987424598745+308264+0,245987424598745+308027+0,1,
124,124,,,245987424598745+308381+0,245987424598745+308027+0,1,
124,124,,,245987424598745+308269+0,245987424598745+308029+0,1,
124,124,,,245987424598745+308276+0,245987424598745+308033+0,1,
124,124,,,245987424598745+308284+0,245987424598745+308035+0,1,
124,124,,,245987424598745+308831+0,245987424598745+308035+0,1,
124,124,,,245987424598745+308287+0,245987424598745+308036+0,1,
124,124,,,245987424598745+308293+0,245987424598745+308040+0,1,
124,124,,,245987424598745+308298+0,245987424598745+308045+0,1,
124,124,,,245987424598745+308305+0,245987424598745+308050+0,1,
124,124,,,245987424598745+308394+0,245987424598745+308050+0,1,
124,124,,,245987424598745+308450+0,245987424598745+308054+0,1,
124,124,,,245987424598745+308314+0,245987424598745+308060+0,1,
124,124,,,245987424598745+308398+0,245987424598745+308060+0,1,
124,124,,,245987424598745+308322+0,245987424598745+308072+0,1,
124,124,,,245987424598745+308402+0,245987424598745+308072+0,1,
124,124,,,245987424598745+308325+0,245987424598745+308074+0,1,
124,124,,,245987424598745+308405+0,245987424598745+308074+0,1,
124,124,,,245987424598745+307941+0,245987424598745+308092+0,1,
124,124,,,245987424598745+308420+1,245987424598745+308101+1,1,
124,124,,,245987424598745+308356+0,245987424598745+308106+0,1,
124,124,,,245987424598745+308409+0,245987424598745+308120+0,1,
131,131,,,245987424598745+308459+0,245987424598745+308120+0,1,
140,140,,,245987424598745+308506+0,245987424598745+308120+0,1,
124,124,,,245987424598745+308084+0,245987424598745+308130+0,1,
124,124,,,245987424598745+307922+0,245987424598745+308131+1,1,
124,124,,,245987424598745+307926+1,245987424598745+308137+1,1,
140,140,,,245987424598745+308464+1,245987424598745+308144+1,1,
124,124,,,245987424598745+307930+1,245987424598745+308145+1,1,
124,124,,,245987424598745+307934+1,245987424598745+308151+1,1,
124,124,,,245987424598745+307937+1,245987424598745+308152+0,1,
124,124,,,245987424598745+307946+0,245987424598745+308156+0,1,
124,124,,,245987424598745+307949+0,245987424598745+308159+0,1,
124,124,,,245987424598745+307953+0,245987424598745+308160+0,1,
140,140,,,245987424598745+308469+1,245987424598745+308163+1,1,
124,124,,,245987424598745+307956+0,245987424598745+308164+0,1,
140,140,,,245987424598745+308469+1,245987424598745+308165+1,1,
124,124,,,245987424598745+307960+0,245987424598745+308166+0,1,
124,124,,,245987424598745+307964+0,245987424598745+308169+0,1,
124,124,,,245987424598745+307967+0,245987424598745+308173+0,1,
124,124,,,245987424598745+307971+0,245987424598745+308179+0,1,
124,124,,,245987424598745+307975+0,245987424598745+308181+0,1,
140,140,,,245987424598745+308473+1,245987424598745+308184+1,1,
124,124,,,245987424598745+307979+0,245987424598745+308185+0,1,
124,124,,,245987424598745+307983+0,245987424598745+308191+0,1,
124,124,,,245987424598745+307989+0,245987424598745+308196+0,1,
124,124,,,245987424598745+308353+0,245987424598745+308197+0,1,
124,124,,,245987424598745+307995+0,245987424598745+308200+1,1,
131,131,,,245987424598745+308102+1,245987424598745+308204+1,1,
131,131,,,245987424598745+308428+0,245987424598745+308214+0,1,
140,140,,,245987424598745+308478+0,245987424598745+308214+0,1,
124,124,,,245987424598745+308361+0,245987424598745+308217+0,1,
124,124,,,245987424598745+307998+1,245987424598745+308220+1,1,
124,124,,,245987424598745+308366+0,245987424598745+308226+0,1,
131,131,,,245987424598745+308431+0,245987424598745+308226+0,1,
140,140,,,245987424598745+308482+0,245987424598745+308233+0,1,
124,124,,,245987424598745+308370+0,245987424598745+308236+0,1,
131,131,,,245987424598745+308435+0,245987424598745+308243+0,1,
124,124,,,245987424598745+308373+0,245987424598745+308248+0,1,
140,140,,,245987424598745+308485+0,245987424598745+308251+0,1,
124,124,,,245987424598745+308376+0,245987424598745+308254+0,1,
131,131,,,245987424598745+308438+0,245987424598745+308254+0,1,
124,124,,,245987424598745+308012+1,245987424598745+308257+1,1,
124,124,,,245987424598745+308381+0,245987424598745+308264+0,1,
140,140,,,245987424598745+308489+0,245987424598745+308269+0,1,
124,124,,,245987424598745+308024+1,245987424598745+308273+1,1,
131,131,,,245987424598745+308443+0,245987424598745+308276+0,1,
124,124,,,245987424598745+308030+1,245987424598745+308279+1,1,
140,140,,,245987424598745+308493+0,245987424598745+308284+0,1,
131,131,,,245987424598745+308446+0,245987424598745+308287+0,1,
124,124,,,245987424598745+308037+1,245987424598745+308290+0,1,
124,124,,,245987424598745+308042+0,245987424598745+308296+0,1,
140,140,,,245987424598745+308496+0,245987424598745+308298+0,1,
124,124,,,245987424598745+308047+0,245987424598745+308301+0,1,
124,124,,,245987424598745+308394+0,245987424598745+308305+0,1,
124,124,,,245987424598745+308051+0,245987424598745+308309+0,1,
124,124,,,245987424598745+308056+0,245987424598745+308311+0,1,
124,124,,,245987424598745+308398+0,245987424598745+308314+0,1,
140,140,,,245987424598745+308500+0,245987424598745+308314+0,1,
124,124,,,245987424598745+308062+0,245987424598745+308317+0,1,
124,124,,,245987424598745+308068+0,245987424598745+308318+0,1,
124,124,,,245987424598745+308402+0,245987424598745+308322+0,1,
140,140,,,245987424598745+308503+0,245987424598745+308322+0,1,
124,124,,,245987424598745+308405+0,245987424598745+308325+0,1,
131,131,,,245987424598745+308456+0,245987424598745+308325+0,1,
124,124,,,245987424598745+307937+1,245987424598745+308341+0,1,
124,124,,,245987424598745+308152+0,245987424598745+308341+0,1,
124,124,,,245987424598745+307946+0,245987424598745+308342+0,1,
124,124,,,245987424598745+308156+0,245987424598745+308342+0,1,
124,124,,,245987424598745+307953+0,245987424598745+308343+0,1,
124,124,,,245987424598745+308160+0,245987424598745+308343+0,1,
124,124,,,245987424598745+307960+0,245987424598745+308345+0,1,
124,124,,,245987424598745+308166+0,245987424598745+308345+0,1,
124,124,,,245987424598745+307967+0,245987424598745+308346+0,1,
124,124,,,245987424598745+308173+0,245987424598745+308346+0,1,
124,124,,,245987424598745+307975+0,245987424598745+308349+0,1,
124,124,,,245987424598745+308181+0,245987424598745+308349+0,1,
124,124,,,245987424598745+307983+0,245987424598745+308351+0,1,
124,124,,,245987424598745+308191+0,245987424598745+308351+0,1,
124,124,,,245987424598745+308012+1,245987424598745+308379+1,1,
124,124,,,245987424598745+308037+1,245987424598745+308392+0,1,
124,124,,,245987424598745+308290+0,245987424598745+308392+0,1,
124,124,,,245987424598745+308047+0,245987424598745+308393+0,1,
124,124,,,245987424598745+308301+0,245987424598745+308393+0,1,
124,124,,,245987424598745+308056+0,245987424598745+308397+0,1,
124,124,,,245987424598745+308311+0,245987424598745+308397+0,1,
131,131,,,245987424598745+308131+1,245987424598745+308412+0,1,
131,131,,,245987424598745+308145+1,245987424598745+308414+0,1,
131,131,,,245987424598745+308092+0,245987424598745+308415+0,1,
131,131,,,245987424598745+308160+0,245987424598745+308417+0,1,
131,131,,,245987424598745+308173+0,245987424598745+308418+0,1,
124,124,,,245987424598745+307983+0,245987424598745+308423+0,1,
131,131,,,245987424598745+308191+0,245987424598745+308423+0,1,
131,131,,,245987424598745+308102+1,245987424598745+308426+0,1,
131,131,,,245987424598745+308204+1,245987424598745+308426+0,1,
131,131,,,245987424598745+308273+1,245987424598745+308442+0,1,
131,131,,,245987424598745+308311+0,245987424598745+308453+0,1,
140,140,,,245987424598745+308081+0,245987424598745+308462+0,1,
140,140,,,245987424598745+308137+1,245987424598745+308463+0,1,
140,140,,,245987424598745+308152+0,245987424598745+308467+0,1,
140,140,,,245987424598745+308160+0,245987424598745+308468+0,1,
140,140,,,245987424598745+308169+0,245987424598745+308472+0,1,
140,140,,,245987424598745+308185+0,245987424598745+308476+0,1,
140,140,,,245987424598745+308200+1,245987424598745+308477+0,1,
140,140,,,245987424598745+308229+1,245987424598745+308481+0,1,
140,140,,,245987424598745+308273+1,245987424598745+308492+0,1,
140,140,,,245987424598745+308311+0,245987424598745+308499+0,1,
76,76,,,245987424598745+309337+1,245987424598745+308706+1,1,
74,74,,,245987424598745+309341+1,245987424598745+308709+1,1,
74,74,,,245987424598745+308916+1,245987424598745+308725+1,1,
76,76,,,245987424598745+309345+1,245987424598745+308725+1,1,
74,74,,,245987424598745+309354+1,245987424598745+308732+1,1,
74,74,,,245987424598745+310484+1,245987424598745+308732+1,1,
62,62,,,245987424598745+309077+1,245987424598745+308745+1,1,
62,62,,,245987424598745+309363+1,245987424598745+308745+1,1,
74,74,,,245987424598745+309370+1,245987424598745+308748+1,1,
68,68,,,245987424598745+309113+1,245987424598745+308760+1,1,
68,68,,,245987424598745+309138+1,245987424598745+308766+0,1,
76,76,,,245987424598745+309326+0,245987424598745+308844+0,1,
76,76,,,245987424598745+309668+0,245987424598745+308848+0,1,
76,76,,,245987424598745+309674+0,245987424598745+308849+0,1,
62,62,,,245987424598745+308845+1,245987424598745+308856+1,1,
20,20,,,245987424598745+308881+1,245987424598745+308884+1,1,
18,18,,,245987424598745+309875+1,245987424598745+308885+1,1,
94,94,,,245987424598745+310926+1,245987424598745+308916+1,1,
74,74,,,245987424598745+309173+1,245987424598745+308934+1,1,
74,74,,,245987424598745+308833+1,245987424598745+308943+1,1,
33,33,,,245987424598745+310072+0,245987424598745+308964+0,1,
76,76,,,245987424598745+309333+0,245987424598745+309024+1,1,
76,76,,,245987424598745+309345+1,245987424598745+309039+1,1,
74,74,,,245987424598745+309380+1,245987424598745+309113+1,1,
76,76,,,245987424598745+309436+1,245987424598745+309138+1,1,
76,76,,,245987424598745+309499+0,245987424598745+309157+0,1,
76,76,,,245987424598745+309504+0,245987424598745+309161+0,1,
76,76,,,245987424598745+309514+0,245987424598745+309169+0,1,
76,76,,,245987424598745+309523+0,245987424598745+309178+0,1,
76,76,,,245987424598745+309550+0,245987424598745+309189+0,1,
76,76,,,245987424598745+309615+0,245987424598745+309199+0,1,
76,76,,,245987424598745+309650+0,245987424598745+309215+0,1,
76,76,,,245987424598745+309655+0,245987424598745+309223+0,1,
76,76,,,245987424598745+309661+0,245987424598745+309229+0,1,
76,76,,,245987424598745+309690+0,245987424598745+309254+0,1,
76,76,,,245987424598745+309704+0,245987424598745+309268+0,1,
76,76,,,245987424598745+309717+0,245987424598745+309277+0,1,
76,76,,,245987424598745+309729+0,245987424598745+309280+0,1,
76,76,,,245987424598745+309736+0,245987424598745+309289+0,1,
76,76,,,245987424598745+309749+0,245987424598745+309296+0,1,
76,76,,,245987424598745+309765+0,245987424598745+309307+0,1,
76,76,,,245987424598745+309774+0,245987424598745+309314+0,1,
76,76,,,245987424598745+309785+0,245987424598745+309320+0,1,
76,76,,,245987424598745+309021+0,245987424598745+309330+1,1,
76,76,,,245987424598745+309026+1,245987424598745+309336+1,1,
