shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010006,40.731353,-73.990370,10001
M010006,40.731982,-73.990209,10002
M010006,40.732621,-73.990059,10003
M010006,40.732621,-73.990059,20001
M010006,40.732752,-73.990029,20002
M010006,40.733112,-73.989939,20003
M010006,40.733362,-73.989879,20004
M010006,40.733512,-73.989859,20005
M010006,40.733938,-73.989850,20006
M010006,40.733938,-73.989850,30001
M010006,40.733972,-73.989849,30002
M010006,40.734422,-73.989899,30003
M010006,40.734762,-73.989989,30004
M010006,40.734832,-73.989999,30005
M010006,40.735022,-73.990039,30006
M010006,40.735152,-73.990049,30007
M010006,40.735332,-73.989909,30008
M010006,40.735595,-73.989720,30009
M010006,40.735595,-73.989720,40001
M010006,40.735752,-73.989609,40002
M010006,40.735972,-73.989449,40003
M010006,40.736512,-73.989019,40004
M010006,40.736572,-73.988919,40005
M010006,40.736642,-73.988849,40006
M010006,40.736742,-73.988769,40007
M010006,40.736823,-73.988712,40008
M010006,40.736823,-73.988712,50001
M010006,40.737112,-73.988509,50002
M010006,40.737702,-73.988089,50003
M010006,40.738282,-73.987669,50004
M010006,40.738872,-73.987239,50005
M010006,40.739011,-73.987138,50006
M010006,40.739011,-73.987138,60001
M010006,40.739492,-73.986789,60002
M010006,40.739572,-73.986729,60003
M010006,40.740152,-73.986299,60004
M010006,40.740513,-73.986040,60005
M010006,40.740513,-73.986040,70001
M010006,40.740822,-73.985819,70002
M010006,40.741442,-73.985359,70003
M010006,40.741482,-73.985459,70004
M010006,40.741511,-73.985530,70005
M010006,40.741511,-73.985530,80001
M010006,40.742142,-73.987049,80002
M010006,40.742762,-73.986599,80003
M010006,40.743382,-73.986149,80004
M010006,40.744002,-73.985699,80005
M010006,40.744233,-73.985527,80006
M010006,40.744233,-73.985527,90001
M010006,40.744622,-73.985239,90002
M010006,40.745242,-73.984789,90003
M010006,40.745542,-73.984567,90004
M010006,40.745542,-73.984567,100001
M010006,40.745852,-73.984339,100002
M010006,40.746472,-73.983899,100003
M010006,40.747092,-73.983439,100004
M010006,40.747762,-73.982959,100005
M010006,40.748361,-73.982514,100006
M010006,40.748361,-73.982514,110001
M010006,40.750172,-73.981193,110002
M010006,40.750172,-73.981193,120001
M010006,40.750272,-73.981119,120002
M010006,40.750902,-73.980669,120003
M010006,40.751512,-73.980219,120004
M010006,40.752053,-73.979826,120005
M010006,40.752053,-73.979826,130001
M010006,40.752132,-73.979769,130002
M010006,40.752352,-73.979609,130003
M010006,40.752542,-73.979479,130004
M010006,40.752822,-73.979269,130005
M010006,40.753377,-73.978850,130006
M010006,40.753377,-73.978850,140001
M010006,40.753472,-73.978779,140002
M010006,40.754002,-73.978399,140003
M010006,40.754052,-73.978359,140004
M010006,40.754092,-73.978329,140005
M010006,40.754722,-73.977869,140006
M010006,40.755263,-73.977476,140007
M010006,40.755263,-73.977476,150001
M010006,40.755342,-73.977419,150002
M010006,40.755972,-73.976959,150003
M010006,40.756592,-73.976499,150004
M010006,40.756972,-73.976239,150005
M010006,40.757222,-73.976049,150006
M010006,40.757784,-73.975647,150007
M010006,40.757784,-73.975647,160001
M010006,40.757852,-73.975599,160002
M010006,40.758482,-73.975129,160003
M010006,40.759092,-73.974679,160004
M010006,40.759669,-73.974263,160005
M010006,40.759669,-73.974263,170001
M010006,40.759732,-73.974219,170002
M010006,40.760352,-73.973769,170003
M010006,40.760982,-73.973299,170004
M010006,40.761153,-73.973175,170005
M010006,40.761153,-73.973175,180001
M010006,40.761602,-73.972849,180002
M010006,40.762282,-73.972359,180003
M010006,40.762890,-73.971914,180004
M010006,40.762890,-73.971914,190001
M010006,40.764719,-73.970581,190002
M010006,40.764719,-73.970581,200001
M010006,40.764832,-73.970499,200002
M010006,40.765462,-73.970039,200003
M010006,40.766082,-73.969579,200004
M010006,40.766474,-73.969298,200005
M010006,40.766474,-73.969298,210001
M010006,40.766712,-73.969129,210002
M010006,40.767342,-73.968669,210003
M010006,40.767874,-73.968274,210004
M010006,40.767874,-73.968274,220001
M010006,40.768849,-73.967569,220002
M010006,40.768849,-73.967569,230001
M010006,40.770113,-73.966648,230002
M010006,40.770113,-73.966648,240001
M010006,40.771834,-73.965383,240002
M010006,40.771834,-73.965383,250001
M010006,40.772452,-73.964929,250002
M010006,40.772802,-73.964677,250003
M010006,40.772802,-73.964677,260001
M010006,40.773092,-73.964469,260002
M010006,40.773722,-73.964009,260003
M010006,40.774362,-73.963549,260004
M010006,40.774992,-73.963089,260005
M010006,40.775357,-73.962826,260006
M010006,40.775357,-73.962826,270001
M010006,40.777486,-73.961273,270002
M010006,40.777486,-73.961273,280001
M010006,40.778828,-73.960292,280002
M010006,40.778828,-73.960292,290001
M010006,40.781189,-73.958562,290002
M010006,40.781189,-73.958562,300001
M010006,40.782709,-73.957452,300002
M010006,40.782709,-73.957452,310001
M010006,40.784398,-73.956225,310002
M010006,40.784398,-73.956225,320001
M010006,40.785673,-73.955290,320002
M010006,40.785673,-73.955290,330001
M010006,40.787127,-73.954244,330002
M010006,40.787127,-73.954244,340001
M010006,40.788449,-73.953263,340002
M010006,40.788449,-73.953263,350001
M010006,40.790342,-73.951890,350002
M010006,40.790342,-73.951890,360001
M010006,40.791407,-73.951109,360002
M010006,40.791407,-73.951109,370001
M010006,40.792193,-73.950530,370002
M010006,40.792193,-73.950530,380001
M010006,40.793472,-73.949602,380002
M010006,40.793472,-73.949602,390001
M010006,40.794588,-73.948783,390002
M010006,40.794588,-73.948783,400001
M010006,40.794902,-73.948559,400002
M010006,40.795532,-73.948099,400003
M010006,40.795850,-73.947866,400004
M010006,40.795850,-73.947866,410001
M010006,40.796162,-73.947639,410002
M010006,40.796792,-73.947179,410003
M010006,40.797442,-73.946699,410004
M010006,40.797529,-73.946633,410005
M010006,40.797529,-73.946633,420001
M010006,40.797852,-73.946389,420002
M010006,40.798032,-73.946259,420003
M010006,40.798502,-73.945909,420004
M010006,40.798523,-73.945893,420005
M010006,40.798523,-73.945893,430001
M010006,40.799282,-73.945349,430002
M010006,40.799982,-73.944849,430003
M010006,40.800419,-73.944527,430004
M010006,40.800419,-73.944527,440001
M010006,40.800662,-73.944349,440002
M010006,40.801282,-73.943889,440003
M010006,40.801541,-73.943699,440004
M010006,40.801541,-73.943699,450001
M010006,40.801912,-73.943429,450002
M010006,40.802532,-73.942979,450003
M010006,40.803182,-73.942569,450004
M010006,40.803432,-73.942389,450005
M010006,40.803523,-73.942325,450006
M010006,40.803523,-73.942325,460001
M010006,40.803602,-73.942269,460002
M010006,40.803732,-73.942169,460003
M010006,40.803822,-73.942099,460004
M010006,40.803952,-73.941999,460005
M010006,40.804442,-73.941649,460006
M010006,40.804802,-73.941387,460007
M010006,40.804802,-73.941387,470001
M010006,40.804992,-73.941249,470002
M010006,40.805062,-73.941159,470003
M010006,40.805122,-73.941089,470004
M010006,40.805732,-73.940629,470005
M010006,40.806039,-73.940408,470006
M010006,40.806039,-73.940408,480001
M010006,40.806402,-73.940149,480002
M010006,40.807022,-73.939699,480003
M010006,40.807072,-73.939659,480004
M010006,40.807271,-73.939518,480005
M010006,40.807271,-73.939518,490001
M010006,40.807652,-73.939249,490002
M010006,40.808272,-73.938789,490003
M010006,40.808322,-73.938749,490004
M010006,40.808536,-73.938595,490005
M010006,40.808536,-73.938595,500001
M010006,40.808892,-73.938339,500002
M010006,40.809512,-73.937879,500003
M010006,40.810172,-73.937409,500004
M010006,40.810466,-73.937209,500005
M010006,40.810466,-73.937209,510001
M010006,40.810702,-73.937049,510002
M010006,40.810792,-73.936989,510003
M010006,40.811082,-73.936789,510004
M010006,40.811372,-73.936579,510005
M010006,40.811532,-73.936449,510006
M010006,40.811692,-73.936349,510007
M010006,40.812112,-73.936169,510008
M010006,40.812132,-73.936219,510009
M010006,40.812271,-73.936552,510010
M010006,40.812271,-73.936552,520001
M010006,40.812362,-73.936769,520002
M010006,40.812742,-73.937639,520003
M010006,40.813166,-73.937322,520004
M010006,40.813166,-73.937322,530001
M010006,40.813412,-73.937139,530002
M010006,40.814032,-73.936689,530003
M010006,40.814504,-73.936351,530004
M010006,40.814504,-73.936351,540001
M010006,40.814662,-73.936239,540002
M010006,40.814772,-73.936139,540003
M010006,40.814842,-73.936089,540004
M010006,40.815322,-73.935749,540005
M010006,40.815563,-73.936321,540006
M010006,40.815563,-73.936321,550001
M010006,40.815752,-73.936769,550002
M010006,40.816002,-73.937369,550003
M010006,40.816632,-73.938899,550004
M010006,40.816961,-73.938666,550005
M010006,40.816961,-73.938666,560001
M010006,40.817242,-73.938469,560002
M010006,40.817522,-73.938269,560003
M010006,40.817862,-73.938029,560004
M010006,40.818472,-73.937569,560005
M010006,40.818815,-73.937312,560006
M010006,40.818815,-73.937312,570001
M010006,40.819102,-73.937099,570002
M010006,40.819722,-73.936639,570003
M010006,40.819982,-73.936449,570004
M010006,40.820242,-73.936259,570005
M010006,40.820392,-73.936149,570006
M010006,40.820704,-73.935932,570007
M010006,40.820704,-73.935932,580001
M010006,40.821082,-73.935669,580002
M010006,40.821182,-73.935589,580003
M010006,40.821692,-73.935199,580004
M010006,40.821752,-73.935339,580005
M010006,40.821812,-73.935479,580006
M010006,40.821926,-73.935749,580007
M010006,40.821926,-73.935749,590001
M010006,40.822412,-73.936899,590002
M010006,40.822682,-73.937539,590003
M010006,40.822825,-73.937887,590004
M010006,40.822825,-73.937887,600001
M010006,40.822892,-73.938049,600002
M010006,40.822952,-73.938199,600003
M010006,40.822322,-73.938649,600004
M010006,40.822272,-73.938519,600005
M010006,40.821227,-73.936026,600006
M010007,40.720670,-73.997748,10001
M010007,40.720692,-73.997729,10002
M010007,40.720812,-73.997659,10003
M010007,40.720952,-73.997609,10004
M010007,40.721122,-73.997549,10005
M010007,40.721452,-73.997439,10006
