"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"GO703_21_2","00:03:00","00:03:00","237","1"
"GO703_21_2","00:15:00","00:15:00","214","2"
"GO703_21_2","00:20:00","00:20:00","55","3"
"GO703_21_2","00:22:00","00:22:00","107","4"
"GO703_21_2","00:26:00","00:29:00","102","5"
"GO703_21_2","00:44:00","00:44:00","183","6"
"GO703_21_2","00:47:00","00:47:00","225","7"
"GO703_21_2","00:50:00","00:50:00","64","8"
"GO703_21_2","00:53:00","00:53:00","226","9"
"GO703_21_2","00:56:00","00:56:00","16","10"
"GO703_21_2","00:59:00","00:59:00","215","11"
"GO703_21_2","01:02:00","01:02:00","187","12"
"GO703_21_2","01:04:00","01:04:00","136","13"
"GO703_21_2","01:06:00","01:06:00","135","14"
"GO703_21_2","01:09:00","01:09:00","8","15"
"GO703_21_2","01:12:00","01:12:00","38","16"
"GO703_21_2","01:15:00","01:15:00","117","17"
"GO703_21_2","01:20:00","01:20:00","27","18"
"GO703_21_3","01:03:00","01:03:00","27","1"
"GO703_21_3","01:08:00","01:08:00","117","2"
"GO703_21_3","01:11:00","01:11:00","38","3"
"GO703_21_3","01:13:00","01:13:00","8","4"
"GO703_21_3","01:16:00","01:16:00","135","5"
"GO703_21_3","01:18:00","01:18:00","136","6"
"GO703_21_3","01:20:00","01:20:00","187","7"
"GO703_21_3","01:23:00","01:23:00","215","8"
"GO703_21_3","01:26:00","01:26:00","16","9"
"GO703_21_3","01:29:00","01:29:00","226","10"
"GO703_21_3","01:32:00","01:32:00","64","11"
"GO703_21_3","01:35:00","01:35:00","225","12"
"GO703_21_3","01:38:00","01:38:00","183","13"
"GO703_21_3","01:41:00","01:41:00","125","14"
"GO703_21_3","01:55:00","01:57:00","102","15"
"GO703_21_3","02:06:00","02:06:00","214","16"
"GO703_21_3","02:17:00","02:17:00","237","17"
"GO703_21_4","00:44:00","00:44:00","237","1"
"GO703_21_4","00:56:00","00:56:00","214","2"
"GO703_21_4","01:01:00","01:01:00","55","3"
"GO703_21_4","01:03:00","01:03:00","107","4"
"GO703_21_4","01:07:00","01:09:00","102","5"
"GO703_21_4","01:27:00","01:27:00","183","6"
"GO703_21_4","01:30:00","01:30:00","225","7"
"GO703_21_4","01:33:00","01:33:00","64","8"
"GO703_21_4","01:36:00","01:36:00","226","9"
"GO703_21_4","01:39:00","01:39:00","16","10"
"GO703_21_4","01:42:00","01:42:00","215","11"
"GO703_21_4","01:45:00","01:45:00","187","12"
"GO703_21_4","01:47:00","01:47:00","136","13"
"GO703_21_4","01:49:00","01:49:00","135","14"
"GO703_21_4","01:52:00","01:52:00","8","15"
"GO703_21_4","01:55:00","01:55:00","38","16"
"GO703_21_4","01:58:00","01:58:00","117","17"
"GO703_21_4","02:03:00","02:03:00","27","18"
"GO703_21_5","01:36:00","01:36:00","27","1"
"GO703_21_5","01:41:00","01:41:00","117","2"
"GO703_21_5","01:44:00","01:44:00","38","3"
"GO703_21_5","01:46:00","01:46:00","8","4"
"GO703_21_5","01:49:00","01:49:00","135","5"
"GO703_21_5","01:51:00","01:51:00","136","6"
"GO703_21_5","01:53:00","01:53:00","187","7"
"GO703_21_5","01:56:00","01:56:00","215","8"
"GO703_21_5","01:59:00","01:59:00","16","9"
"GO703_21_5","02:02:00","02:02:00","226","10"
"GO703_21_5","02:05:00","02:05:00","64","11"
"GO703_21_5","02:08:00","02:08:00","225","12"
"GO703_21_5","02:11:00","02:11:00","183","13"
"GO703_21_5","02:15:00","02:15:00","125","14"
"GO703_21_5","02:30:00","02:32:00","102","15"
"GO703_21_5","02:41:00","02:41:00","214","16"
"GO703_21_5","02:52:00","02:52:00","237","17"
"GO703_21_6","01:49:00","01:49:00","237","1"
"GO703_21_6","02:01:00","02:01:00","214","2"
"GO703_21_6","02:10:00","02:12:00","102","3"
"GO703_21_6","02:23:00","02:23:00","211","4"
"GO703_21_6","02:26:00","02:26:00","125","5"
"GO703_21_6","02:30:00","02:30:00","183","6"
"GO703_21_6","02:33:00","02:33:00","225","7"
"GO703_21_6","02:35:00","02:35:00","64","8"
"GO703_21_6","02:39:00","02:39:00","226","9"
"GO703_21_6","02:42:00","02:42:00","16","10"
"GO703_21_6","02:45:00","02:45:00","215","11"
"GO703_21_6","02:48:00","02:48:00","187","12"
"GO703_21_6","02:50:00","02:50:00","136","13"
