service_id,date,exception_type
9405,20211206,1
9406,20211207,1
9406,20211208,1
9406,20211209,1
9418,20211210,1
9414,20211211,1
9415,20211212,1
9416,20211213,1
9420,20211214,1
9420,20211215,1
9426,20211216,1
9430,20211217,1
9423,20211218,1
9424,20211219,1
9428,20211220,1
9429,20211221,1
9429,20211222,1
9422,20211223,1
9443,20211224,1
9444,20211225,1
9424,20211226,1
9428,20211227,1
9429,20211228,1
9439,20211229,1
9429,20211230,1
9450,20211231,1
9451,20220101,1
9452,20220102,1
9447,20220103,1
9454,20220104,1
9454,20220105,1
9454,20220106,1
9455,20220107,1
9423,20220108,1
9424,20220109,1
9453,20220110,1
9454,20220111,1
9454,20220112,1
9454,20220113,1
9449,20220114,1
9423,20220115,1
9424,20220116,1
9446,20220117,1
9454,20220118,1
9454,20220119,1
9454,20220120,1
9449,20220121,1
9423,20220122,1
9424,20220123,1
9453,20220124,1
9454,20220125,1
9454,20220126,1
9454,20220127,1
9449,20220128,1
9423,20220129,1
9424,20220130,1
9453,20220131,1
9454,20220201,1
9454,20220202,1
9454,20220203,1
9449,20220204,1
9423,20220205,1
9424,20220206,1
9453,20220207,1
9454,20220208,1
9454,20220209,1
9454,20220210,1
9449,20220211,1
9423,20220212,1
9424,20220213,1
9453,20220214,1
9454,20220215,1
9454,20220216,1
9454,20220217,1
9449,20220218,1
9423,20220219,1
9424,20220220,1
9453,20220221,1
9454,20220222,1
9454,20220223,1
9454,20220224,1
9449,20220225,1
9423,20220226,1
9424,20220227,1
9453,20220228,1
9454,20220301,1
9454,20220302,1
9454,20220303,1
9449,20220304,1
9423,20220305,1
9424,20220306,1
9453,20220307,1
9454,20220308,1
9454,20220309,1
9454,20220310,1
9449,20220311,1
9423,20220312,1
9424,20220313,1
9453,20220314,1
9454,20220315,1
9454,20220316,1
9454,20220317,1
9449,20220318,1
9423,20220319,1
9424,20220320,1
9453,20220321,1
9454,20220322,1
9454,20220323,1
9454,20220324,1
9449,20220325,1
9423,20220326,1
