from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,10747815,10747746,1,
124,124,,,10747818,10747750,1,
124,124,,,10747911,10747762,1,
124,124,,,10747916,10747767,1,
124,124,,,10747841,10747774,1,
112,112,,,10748055,10747775,1,
124,124,,,10747843,10747776,1,
124,124,,,10747844,10747777,1,
124,124,,,10747847,10747781,1,
124,124,,,10747849,10747783,1,
116,116,,,10747850,10747785,1,
124,124,,,10747850,10747785,1,
124,124,,,10747851,10747787,1,
124,124,,,10747852,10747788,1,
116,116,,,10747854,10747790,1,
124,124,,,10747854,10747790,1,
116,116,,,10747857,10747791,1,
124,124,,,10747857,10747791,1,
116,116,,,10747858,10747792,1,
124,124,,,10747858,10747792,1,
116,116,,,10747860,10747794,1,
124,124,,,10747860,10747794,1,
116,116,,,10747863,10747798,1,
124,124,,,10747863,10747798,1,
124,124,,,10747930,10747799,1,
124,124,,,10747865,10747801,1,
124,124,,,10747867,10747803,1,
124,124,,,10747868,10747804,1,
124,124,,,10747869,10747805,1,
124,124,,,10747868,10747815,1,
131,131,,,10747868,10747815,1,
131,131,,,10747933,10747815,1,
124,124,,,10747749,10747817,1,
116,116,,,10747808,10747819,1,
124,124,,,10747808,10747819,1,
116,116,,,10747753,10747820,1,
124,124,,,10747753,10747820,1,
116,116,,,10747754,10747822,1,
124,124,,,10747754,10747822,1,
124,124,,,10747756,10747824,1,
116,116,,,10747757,10747826,1,
124,124,,,10747757,10747826,1,
124,124,,,10747758,10747827,1,
124,124,,,10747760,10747828,1,
124,124,,,10747763,10747830,1,
124,124,,,10747764,10747831,1,
124,124,,,10747765,10747832,1,
124,124,,,10747766,10747833,1,
124,124,,,10747768,10747834,1,
124,124,,,10747769,10747836,1,
116,116,,,10747770,10747837,1,
124,124,,,10747770,10747837,1,
116,116,,,10747771,10747839,1,
124,124,,,10747771,10747839,1,
124,124,,,10747891,10747841,1,
140,140,,,10747942,10747841,1,
124,124,,,10747892,10747843,1,
131,131,,,10747923,10747843,1,
124,124,,,10747893,10747844,1,
131,131,,,10747924,10747845,1,
124,124,,,10747895,10747847,1,
124,124,,,10747896,10747849,1,
131,131,,,10747925,10747849,1,
124,124,,,10747898,10747851,1,
140,140,,,10747944,10747851,1,
131,131,,,10747926,10747852,1,
124,124,,,10747784,10747853,1,
124,124,,,10748071,10747853,1,
124,124,,,10747789,10747855,1,
131,131,,,10747928,10747858,1,
124,124,,,10747793,10747859,1,
124,124,,,10747795,10747861,1,
124,124,,,10747797,10747862,1,
