route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,9405,10747746,Grand Central Terminal,1299,1,,5,1,0
3,9405,10747747,Stamford,1300,0,,16,1,0
3,9405,10747748,Grand Central Terminal,1301,1,,5,1,0
3,9405,10747749,Stamford,1302,0,,16,1,0
3,9405,10747750,Grand Central Terminal,1303,1,,5,1,0
3,9405,10747751,Stamford,1304,0,,16,1,0
3,9405,10747752,Grand Central Terminal,1305,1,,5,1,0
3,9405,10747753,Stamford,1306,0,,16,1,0
3,9405,10747754,Stamford,1308,0,,16,1,0
3,9405,10747755,Grand Central Terminal,1309,1,,5,1,0
3,9405,10747756,Stamford,1310,0,,16,1,0
3,9405,10747757,Stamford,1312,0,,16,1,0
3,9405,10747758,Stamford,1314,0,,16,1,0
3,9405,10747759,Stamford,1316,0,,16,1,0
3,9405,10747760,Stamford,1318,0,,16,1,0
3,9405,10747761,Stamford,1320,0,,16,1,0
3,9405,10747762,Grand Central Terminal,1321,1,,5,1,0
3,9405,10747763,Stamford,1322,0,,16,1,0
3,9405,10747764,Stamford,1326,0,,16,1,0
3,9405,10747765,Stamford,1330,0,,16,1,0
3,9405,10747766,Stamford,1334,0,,16,1,0
3,9405,10747767,Grand Central Terminal,1335,1,,5,1,0
3,9405,10747768,Stamford,1336,0,,16,1,0
3,9405,10747769,Stamford,1338,0,,16,1,0
3,9405,10747770,Stamford,1340,0,,16,1,0
3,9405,10747771,Stamford,1342,0,,16,1,0
3,9405,10747772,Stamford,1346,0,,16,1,0
3,9405,10747773,Grand Central Terminal,1347,1,,5,1,0
3,9405,10747774,Grand Central Terminal,1351,1,,5,1,0
3,9405,10747775,Stamford,1352,0,,16,1,0
3,9405,10747776,Grand Central Terminal,1355,1,,5,1,0
3,9405,10747777,Grand Central Terminal,1359,1,,5,1,0
3,9405,10747778,Stamford,1360,0,,16,1,0
3,9405,10747779,Grand Central Terminal,1361,1,,5,1,0
3,9405,10747780,Old Greenwich,1362,0,,16,1,0
3,9405,10747781,Grand Central Terminal,1363,1,,5,1,0
3,9405,10747782,Grand Central Terminal,1365,1,,5,1,0
3,9405,10747783,Grand Central Terminal,1367,1,,5,1,0
3,9405,10747784,Stamford,1368,0,,16,1,0
3,9405,10747785,Grand Central Terminal,1369,1,,5,1,0
3,9405,10747787,Grand Central Terminal,1371,1,,5,1,0
3,9405,10747788,Grand Central Terminal,1373,1,,5,1,0
3,9405,10747789,Stamford,1374,0,,16,1,0
3,9405,10747790,Grand Central Terminal,1375,1,,5,1,0
3,9405,10747791,Grand Central Terminal,1379,1,,5,1,0
3,9405,10747792,Grand Central Terminal,1381,1,,5,1,0
3,9405,10747793,Stamford,1382,0,,16,1,0
3,9405,10747794,Grand Central Terminal,1383,1,,5,1,0
3,9405,10747795,Stamford,1384,0,,16,1,0
3,9405,10747796,Grand Central Terminal,1385,1,,5,1,0
3,9405,10747797,Stamford,1386,0,,16,1,0
3,9405,10747798,Grand Central Terminal,1387,1,,5,1,0
3,9405,10747799,Grand Central Terminal,1389,1,,5,1,0
3,9405,10747800,Stamford,1390,0,,16,1,0
3,9405,10747801,Grand Central Terminal,1391,1,,5,1,0
3,9405,10747802,Stamford,1394,0,,16,1,0
3,9405,10747803,Grand Central Terminal,1395,1,,5,1,0
3,9405,10747804,Grand Central Terminal,1397,1,,5,1,0
3,9405,10747805,Stamford,1398,0,,16,1,0
3,9405,10747806,Grand Central Terminal,1399,1,,5,1,0
3,9405,10747807,New Haven,1402,0,,16,1,0
3,9405,10747808,Stamford,1404,0,,16,1,0
3,9405,10747809,Stamford,1406,0,,16,1,0
3,9405,10747811,New Haven,1416,0,,16,1,0
3,9405,10747812,Grand Central Terminal,1471,1,,5,1,0
3,9405,10747813,Grand Central Terminal,1473,1,,5,1,0
3,9405,10747815,Grand Central Terminal,1497,1,,5,1,0
3,9405,10747816,New Haven,1500,0,,16,1,0
3,9405,10747817,New Haven,1502,0,,16,1,0
