service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA21GEN-1037-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-2048-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-3041-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-4049-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-5048-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-6030-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-7025-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-A053-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-C027-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-D042-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-E046-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-F048-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-G037-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-H025-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-J032-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-L022-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-M023-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-N059-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
BFA21GEN-R050-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
SIR-FA2017-SI017-Sunday-00,0,0,0,0,0,0,1,20211219,20220619
AFA21GEN-1091-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-2097-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-3087-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-4099-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-5108-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-6089-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-7062-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-A083-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-B083-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-C052-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-D078-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-E073-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-F075-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-G052-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-G052-Weekday-00-0111100,0,1,1,1,1,0,0,20211220,20220624
AFA21GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-H040-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-H040-Weekday-00-0111100,0,1,1,1,1,0,0,20211220,20220624
BFA21GEN-J052-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-L045-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-M089-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-M089-Weekday-00-0111100,0,1,1,1,1,0,0,20211220,20220624
BFA21GEN-N095-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-Q064-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
BFA21GEN-R091-Weekday-00,1,1,1,1,1,0,0,20211220,20220624
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20211220,20220624
AFA21GEN-1038-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-2042-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-3039-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-4043-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-5043-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-6033-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-7023-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-A046-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-C025-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-D039-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-E041-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-F044-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-G036-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
AFA21GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-H026-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-J032-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-L022-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-M024-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-N056-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
BFA21GEN-R051-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20211224,20220625
