agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url,route_color,route_text_color
MTA NYCT,1,1,Broadway - 7 Avenue Local,1,"Trains operate between 242 St in the Bronx and South Ferry in Manhattan, at all times",http://web.mta.info/nyct/service/pdf/t1cur.pdf,EE352E,
MTA NYCT,2,2,7 Avenue Express,1,"Trains operate between Wakefield-241 St, Bronx, and Flatbush Av-Brooklyn College, Brooklyn, at all times. Trains operate local in Bronx and Brooklyn. Trains operate express in Manhattan except late night when it operates local.",http://web.mta.info/nyct/service/pdf/t2cur.pdf,EE352E,
MTA NYCT,3,3,7 Avenue Express,1,"Trains operate between 148 St, 7 Av, Manhattan, and New Lots Av, Brooklyn, at all times except late nights. During late nights, trains operate only in Manhattan between 148 St, 7 Av and Times Square-42 St.",http://web.mta.info/nyct/service/pdf/t3cur.pdf,EE352E,
MTA NYCT,4,4,Lexington Avenue Express,1,"Trains operate daily between Woodlawn/Jerome Av, Bronx, and Utica Av/Eastern Pkwy, Brooklyn, running express in Manhattan and Brooklyn. During late night and early morning hours, trains run local in Manhattan and Brooklyn, and extend beyond Utica Av to New Lots/Livonia Avs, Brooklyn.",http://web.mta.info/nyct/service/pdf/t4cur.pdf,00933C,
MTA NYCT,5,5,Lexington Avenue Express,1,"Weekdays daytime, most trains operate between either Dyre Av or 238 St-Nereid Av, Bronx, and Flatbush Av-Brooklyn College, Brooklyn. At all other times except during late nights, trains operate between Dyre Av, Bronx, and Bowling Green, Manhattan. During late nights trains operate only in the Bronx between Dyre Av and E 180 St/MorrisPark Av. Customers who ride during late night hours can transfer to 2 service at the E 180 St Station. At all times, trains operate express in Manhattan and Brooklyn. Weekdays, trains in the Bronx operate express from E 180 St to 149 St-3 Av during morning rush hours (from about 6 AM to 9 AM), and from 149 St-3 Av to E 180 St during the evening rush hours (from about 4 PM to 7 PM).",http://web.mta.info/nyct/service/pdf/t5cur.pdf,00933C,
MTA NYCT,5X,5X,Lexington Avenue Express,1,"Weekdays daytime, most trains operate between either Dyre Av or 238 St-Nereid Av, Bronx, and Flatbush Av-Brooklyn College, Brooklyn. At all other times except during late nights, trains operate between Dyre Av, Bronx, and Bowling Green, Manhattan. During late nights trains operate only in the Bronx between Dyre Av and E 180 St/MorrisPark Av. Customers who ride during late night hours can transfer to 2 service at the E 180 St Station. At all times, trains operate express in Manhattan and Brooklyn. Weekdays, trains in the Bronx operate express from E 180 St to 149 St-3 Av during morning rush hours (from about 6 AM to 9 AM), and from 149 St-3 Av to E 180 St during the evening rush hours (from about 4 PM to 7 PM).",http://web.mta.info/nyct/service/pdf/t5cur.pdf,00933C,
MTA NYCT,6,6,Lexington Avenue Local,1,"Local trains operate between Pelham Bay Park/Bruckner Expwy, Bronx, and Brooklyn Bridge/City Hall, Manhattan, at all times.",http://web.mta.info/nyct/service/pdf/t6cur.pdf,00933C,
MTA NYCT,6X,6X,Pelham Bay Park Express,1,"Express trains operate between Pelham Bay Park/Bruckner Expwy, Bronx, and Brooklyn Bridge/City Hall, Manhattan, weekday mornings express in the Bronx toward Manhattan. Weekday afternoons and evenings, these trains operate express in the Bronx toward Pelham Bay Park.",http://web.mta.info/nyct/service/pdf/t6cur.pdf,00933C,
MTA NYCT,7,7,Flushing Local,1,"Trains operate between Main St-Flushing, Queens, and 34th-Hudson Yards, Manhattan, at all times.",http://web.mta.info/nyct/service/pdf/t7cur.pdf,B933AD,
MTA NYCT,7X,7X,Flushing Express,1,"Trains operate between Main St-Flushing, Queens, and 34th St-Hudson Yards, Manhattan, weekday mornings toward Manhattan. Weekday afternoons and evenings, these trains operate express to Queens.",http://web.mta.info/nyct/service/pdf/t7cur.pdf,B933AD,
